,id,song.full_title,song.artist_names,song.lyrics,UniqueWordsPercent,AlbumName,topic1,topic2,topic3,topic4,topic5,topic6,topic7
0,0,Kickin' Incredibly Dope Shit (Intro) by Mac Miller,Mac Miller,when youre young not much matter when you find something that you care about then thats all you get when you go to sleep at night you dream of music when you wake up it the same thing it there in your face you cant escape it sometimes when youre young the only place to go be inside thats just it music be what i love take that away from me and i really get nothing hah-hah this shit right here this feel like a million buck jerm make sure im come through clear here most dope what it be lady and gentleman you be now in tune to kid uh motherfucker i feel like the hardest work kid in america play with the pro i remember be amateur but now im rock show see the light from the camera phone see my people and they hand be up yeah the game a girl try to tease but dont plan to fuck my old brother told me that im finally man up cause ive be a fuckup if you ask me but im still pray that my teacher gon pa me letter from my soul scripture from the torah only give you what you like im a station on pandora rock a sag my girl tell me pull my short up rock solid homie im built ford tough sip a little lean smoke a little weed we just try to keep it cool so we blast the ac some people hate we tell em it all gravy yeah you get your team but im fight with the navy battle to the top we in it to win it we wont stop no more go to store but dont cop shit never go another day with empty pocket houston you there we balling like the rocket and now these eyeball drop out they socket high honor roll but not think bout a college love with these rhyme want the cover of time man of the year get my image stuck in your mind hold up one second girl this my last l ima roll it up with you cop some brand new shoe put me in a good mood ima bring a couple homies you can call a couple friend be there a type of alcohol that you would recommend be young so fun i dont ever want to age havent come down in the past five day just try to tell it like it be we the shit you now deal with some motherfuckin kid what rostrum record in this bitch hah-hah thank yall for tune in what up e let me do what i do most dope thumb up pittsburgh what up taylor gang rd id lab benji big jerm everybody man let do it yeah it my time right now kid kick some incredibly dope shit bitch5embed,0.5093945720250522,K.I.D.S. (2010),0.6104,0.0006,0.0006,0.063,0.0006,0.324,0.0006
1,1,Outside by Mac Miller,Mac Miller,do you mind if we smoke this blunt outside cause it nice out and we could get high yeah the sun shinin and im feelin right we outside outside hey hey hey i wake up throw on some clothes and out the door i wont be back ma shinin sun horizon settin up a lovely backdrop my life the topic of a lullaby ah breath of fresh air be somethin right i dont wan na be inside today just keep it rollin like we ridin skate i get a halfy of haze im thinkin we gon get high today and let the sun shine all in my face oh yeah this life be good dont let it all go to waste just walk outside the door to get your mom off your case haha yeah free livin swear i be on some hippie shit but gettin way fresher than the hippy be i get the the gift of gab somethin that you wish you have dont need to get a strap nah id rather kick a rap enjoy the place that you livin at stay round we just some kid and this world be our playground do you mind if we smoke this blunt outside cause it nice out and we could get high yeah the sun shinin and im feelin right we could post outside for the night do you mind if we smoke this blunt outside cause it nice out and we could get high oh yeah the sun shinin and im feelin right we outside outside hey when i be on some kid shit go and take my shorty on a picnic and every day feelin like it christmas the kinda weather have the people livin so privileged i know the lord take today he be tryna giveth hey hey ayy rich or poor a sunny day a sunny day we start the madness a soon a we hit the month of may rain rain go away waitin for my homie mr sun to come our way little kid runnin through the street playin poppy on the porch he aint get time to waste it he just an old man in the sea ernest hemingway elevate look up in the sky stare at heaven face second grade holdin down the corner slangin lemonade every day hustlin you ridin down penny lane you aint gon na get a day like this so put to rest your trouble with that goodnight kiss do you mind if we smoke this blunt outside cause it nice out and we could get high yeah the sun shinin and im feelin right we could post outside for the night do you mind if we smoke this blunt outside cause it nice out and we could get high oh yeah the sun shinin and im feelin right we outside outside do you mind if we smoke this blunt outside cause it nice out and we could get high yeah the sun shinin and im feelin right we could post outside for the night do you mind if we smoke this blunt outside cause it nice out and we could get high oh yeah the sun shinin and im feelin right we outside outside6embed,0.35064935064935066,K.I.D.S. (2010),0.0006,0.0006,0.0006,0.9967,0.0006,0.0006,0.0006
2,2,Get Em Up by Mac Miller,Mac Miller,if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up the wheel stay spinnin on the civic boy im always on the move when you grindin all the time there a lot of shit to do thats why i get q cause he keep me on the routine i be too skeed try to kick it like bruce lee clean shoe boy new foot and im never in the car with only two seat i get a whip full of people all fresh call em 10 deep motherfucker we the future like next week young people dont see you a an equal they just see you a deceitful tryna send you back to preschool you only gettin one shot no redo tell them hater keep they mouth shut eat glue bitch who the fuck you think you play with im justin bieber meet jadakiss here to take whats theirs treat em all like taylor swift leave em in a daze all like what day be it yeah the boy get class no cambridge fresher than your man girl but whiter than a plate of grit they keep wantin more im their favorite dish this me motherfucker i aint change shit if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up hey i get a brand new phone rock brand new clothes leave every single party with a brand new ho yeah ive do a little travelin circlin the globe always keep it movin inertia on these hoe boy im an asshole girl call him a douchebag this some old-school shit but no boom bap this aint new swag it the same old me the youngin get respect from the game ogs camera flashin when we passin so we stay low-key go to mexico to party where the peso be on the turnpike bitch and your tank on e with my head out the window scream get like me ho you should know the way i roll take a couple shot all to superman these hoe you aint nothin with your wack rap use to be the class clown but now i get the last laugh if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up if you in the ride turn the volume real high if you tryna feel the vibe throw your hand up in the sky motherfucker get em up up up up up up get em up up up up up up1embed,0.36,K.I.D.S. (2010),0.9964,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
3,3,Nikes on My Feet by Mac Miller,Mac Miller,woah haha yeah and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes hey hey nike-nike-nikes hey nike-nike-nikes haha nike-nike-nike-nike-nike-nike-nike-nike-nikes we just some motherfuckin kid nike on my foot keep my cypher complete just some motherfuckin kid nike-nike-nike-nike-nike-nike-nike-nike-nikes ayy lace em up lace em up lace em up lace em blue suede shoe stay crispy like bacon nike on my foot make my cypher complete uh i stay shin like the light on the street in the night revis take me shoppin when im up in new york hit the shoe store go and cop a few more you at the mall get dinner at the food court im in la eatin twenty-two course young bos bitch paper in my pocket i get a closet fill with shoebox mom say my spending habit little bit obnoxious but a pilot stay fresh up in his cockpit use to rock hand-me-down now i buy some clothes wear em out hit the club bitch pull they camera out livin in a dream they beginnin to believe my hotel smell like cigarette and weed shit with what im spittin they should give me a degree good liquor what im sippin isnt cheap uh finna blow dont snooze dont sleep all i really need be some shoe on my foot and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes nike-nike-nikes hey nike-nike-nikes hey nike-nike-nike-nike-nike-nike-nike-nike-nikes hey nike-nike-nikes uh nike-nike-nikes we just some motherfuckin kid haha nike-nike-nike-nike-nike-nike-nike-nike-nikes i make em so mad they get no swag pippens on my foot they the throwback look my money good but these hoe bad so they stay attach to my gonad uh wakin up to a few l open up my closet to that new shoe smell i guess im doin well smokin all the weed that i use to sell but once my album go in the shelf it go nextel how it finna sell for now be sellin tape out my shoebox any spot just set up my shop youre mad that your girl always say that im hot she buyin my t-shirt but she spendin your guap uh say what up if you see me around nike air separate my foot from the ground it just and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes yeah and the nike on my foot keep my cypher complete nike-nike-nike-nike-nike-nike-nike-nike-nikes nike-nike-nikes nike-nike-nikes nike-nike-nike-nike-nike-nike-nike-nike-nikes nike-nike-nikes nike-nike-nikes,0.42417061611374407,K.I.D.S. (2010),0.9961,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
4,4,Senior Skip Day by Mac Miller,Mac Miller,kid kid yeah haha im just high why they hatin on me people tend to think all the drink on me i dont even have the money to spend to buy patrn for you and all your friend hey baby i be on my grind rain sleet snow rollin up good every place we go cause we tryin get high get high get high get high get high know the bullshit and all the problem but we too go to see little bit of this and a little bit of that we proceed to give em what they need just wakin up then gettin stone rub my eye and check my phone open up the fridge to make some waffle but no more syrup left in my bottle damn well it okay i top it off with scramble egg ayy get ta work with what you get ayy what get ta work with what you get suppose to be in class but i aint goin let chill on the couch see whats on the telly girl we wont leave the house can you stay a while can you stay a while cause girl im feelin lazy and im tryna hang around aint tryna get out of my bed til noon neighbor smell the perfume smoke in my room and i get the door close cant be sure though amsterdam weed spendin euro get the herb roll let relax take your shoe off and kick it back we escape the world escape the stress but i dont give a fuck if the house a mess cause we gon handle that later we gon handle that later right now let get this paper and smile for all them hater ayy cream cheese and a bagel have a glass of milk and an eggo im rockin pjs and no shirt i smoke weed eat yogurt enjoy the best thing in your life cause you aint gon na get to live it twice twice they say you waste time asleep but im just tryin to dream suppose to be in class but i aint goin let chill on the couch see whats on the telly girl we wont leave the house can you stay a while can you stay a while cause girl im feelin lazy and im tryna hang around hardcore pound fuck thats the shit right there hell yeah yo thats the only way to do it man it that boom-boom-boom man yeah i know but there a difference between make love have sex and then fuck right right,0.4637002341920375,K.I.D.S. (2010),0.0007,0.0007,0.0007,0.6336,0.0007,0.363,0.0007
5,5,The Spins by Mac Miller,Mac Miller,dope shit like that jerm oh hi welcome back to kid um follow your dream yeah wan na get a mansion a jacuzzi a theater to watch my movie couple whip and lot of fancy thing the kid they call the goony i see the future crystal ball mirror mirror hangin on the wall who the flyest white boy of them all get your girlfriend screenin all the call she bubblin we fuckin then you cuddlin like baby where the fuck you be dont wan na tell you she in love with him so so we aint sayin nothin you could probably tell she bluffin cause she kiss you with the mouth she give me head with my concussion yeah she blushin all red wan na rush and go to bed you interrogate that bitch like you the fed so she say she in love with a rockstar rockstar wan na smoke my weed so she asks me where the top be top be oh top drawer haha oh oh yeah honey i need you round haha i know i know just some motherfuckin kid oh oh oh honey i need you round make money fuck bitch i know yeah i know pittsburgh hey jerm hey these hoe be drunk wan na come and smoke this blunt then let me take em home and do anything i want i say baby i can ride you just let me get inside you i can take you high if you hit this vaporizer i get that dope dick ill be your supplier you grabbin on my sheet and hittin note like you mariah ob with me undress a freak on ecstasy im out and then she textin me like what you doin next week next week yeah hear me now im down on knee and pray though my faith be weak without you so please baby please give u a chance make amends and i will stand up til the end a million time a trillion more hey oh oh oh hey i just want to inform yall honey i need you round im drunk a fuck i know i know most dope bitch hey oh oh oh kid whats up honey i need you round im high a fuck yeah yes sir i know i know oh i graduate oh yeah i just graduate high school haha hey homie dont be mad that your girl love me dont cut anything yet it not my fault yeah im just doin me haha if your girl love me let her love me you feel me so baby smile uh-huh baby dont cry i will only fly with you by my side,0.4419642857142857,K.I.D.S. (2010),0.0006,0.0006,0.0006,0.9962,0.0006,0.0006,0.0006
6,6,Traffic in the Sky by Mac Miller,Mac Miller,recently it seem like everywhere we go the drink stay cold when we coolin coolin and be broke start to get a little old my money have to get some fine tunin tonight might be the night i make it so let live it up and dont regret it at all no all these face different place people hit me up but im forgettin to call haha get away to california when the weather gettin colder my honey by the pool and umbrella in mimosa chillin at the beach house loungin on the sofa ridin with a chauffeur on my way to blow up stoner roll up fishin champagne sippin five-star chef stay cookin in the kitchen haha but makin only the good shit what see the way im living they like oh my goodness i tell em im fine hey hey i aint get a damn thing on my mind hey hey and baby all we get be time hey hey let just watch the cloud go by heh ah ah ah ah and there aint a need to panic girl we can lay up on this hammock no need to pose here everything candid livin in the moment feelin so splendid bottle on me you can put it on the debit uh-huh im just tryna have fun tonight so everybody wang chung tonight haha girl you can fall in love tonight cause trust me ima fuck you right get my louis shade on aint a damn thing wrong nah fillin up cup til the bottle all go we just coolin coolin what feel the breeze decide to give you something you could sing off-key like la la-la la-la la-la la la-la la-la la-la uh i puffin that la la-la la-la la-la la la-la la-la la-la hehe yeah i tell em im fine i aint get a damn thing on my mind and baby all we get be time hey let just watch the cloud go by ah ah ah ah yeah haha thats that smooth shit jerm that pimp shit dude oh yeah thumb up haha,0.4885057471264368,K.I.D.S. (2010),0.0008,0.0008,0.0008,0.0008,0.6149,0.3811,0.0008
7,7,Don’t Mind If I Do by Mac Miller,Mac Miller,haha mhm dont mind if i do ahem hey it seem like every day i get a filled-up phone lady tryna text me sayin that they home for the summer and they heard that im livin on my own so they wan na come to the crib maybe cook me some supper but im busy so im ignorin her yeah i just touch down in california now im head to the beach go and swim in the water like im tryna sneak in across the border i do all different type of crazy shit im the youngin hoe tryna make a baby with cause itll make em rich know im head to the money so these funny little girl wan na take a trip but no only the m-o-s-t dope with me other fool homo roy and siegfried no disrespect though i get addictive cigarette flow for the green pesto presto id like to make myself believe haha that planet earth turn slowly this be what i be talkin about when i say kid be gon na be some life-changing shit bitch it hard to say that id rather stay awake when im asleep but shoutout pittsburgh man most dope cause everything be never a it seem big jerm makin me sound crispy and shit hey yeah im highly underestimated so educate and get paid quick if you ever hat anticipate that im famous get a bunch of bitch to sip on the champagne with celebrate that we seein another day life good never wan na end this me and mary jane get a really nice friendship yeah they give me money but i get ta go and spend it man i be a bad little jew but i get ta pay the bill now so i get ta chill out i aint walkin round like im splurge with a mil now feel like the kid work at the mill now use to just chill and smoke joint up at bill house now i get a schedule thing i get ta do do interview see it up on youtube i say it feel just like a dream bout to wake up from a nap how fuck up be that like id like to make myself believe yeah that planet earth turn slowly haha this shit just feel good im not gon na lie it hard to say that id rather stay awake when im asleep hey hey hey cause everything be never a it seem just some motherfuckin kid we just some motherfuckin kid,0.47641509433962265,K.I.D.S. (2010),0.0007,0.0007,0.0007,0.0007,0.6631,0.3334,0.0007
8,8,Paper Route by Mac Miller (Ft. Chevy Woods),Mac Miller (Ft. Chevy Woods),chevy please let me roll this weed up this the main event so watch the people pull they seat up bottle of some gin let just hit a couple freak up ima take one home and have her sing like the glee club never on no cheap stuff here we get expensive taste green light never press the brake you can look at u roll all the kush that we blow you know im at the show look good for these hoe get they man on patrol shorty wan na live it up play hard to get but she wan na give it up yeah you smoking good but im probably smoking well 151 take shot with no beretta know me homie im the king you could watch me do my thing with a drink get drunk have one night fling this be pittsburgh home of the six ring we get money now all we hear be chi-ching and we do anything to get this paper so they follow everywhere we go so for the bullshit we aint get later cause we out here on this road and we do anything to get this paper so they follow everywhere we go so for the bullshit we aint get later cause we out here on this road cool a fly around chillin young fool gin cup sip thats me thats what i do i get the gang in my bloodstream strong how im living and im gd up so they just throw away the kitten it real i swear you hella bad the youngin mac tell me about you but we cool if you stuck up we can go without you we on the money he schoolin you know i be the block i swear the homie get a gift so he dont need the block zig zag paper king size smoking chill in angry car mean ride pop be a hustler and mom ran track so tell me what you get in me when you mix that i just sit back light mine and middle finger you sucker with my nice rhyme so whether home or on the road we get dough it follow u everywhere that we go and we do anything to get this paper so they follow everywhere we go so for the bullshit we aint get later cause we out here on this road and we do anything to get this paper so they follow everywhere we go so for the bullshit we aint get later cause we out here on this road,0.4238875878220141,K.I.D.S. (2010),0.0008,0.0008,0.0008,0.0008,0.0008,0.9954,0.0008
9,9,Good Evening by Mac Miller,Mac Miller,uh look good even yeah when i party in new york take the late night subway goin out friday to comin home monday from all direction never find me on the one way flavor the rhyme just the icin on the cupcake fuck face my fan notice these other rapper be bogus im supercalifragilisticexpialidocious and the boy stay kickin incredibly dope shit make my mama proud cause my clothes fit travel round the globe bitch on my lewis clark shit dont matter where i live cause i can tell you where my heart be i just stay on my side fuck where everybody at tell the planet peace cause im go i aint comin back have the whole regular life i can tell you that im do with that try to build a mil off a couple stack own my own business investin all i get into these fuckin rap willie parker money hand it off then it runnin back ayo you fuck wit dat uh you get ta fuck wit dat you in love wit dat look uh mac miller takin sip from the fountain of youth if you aint heard about the kid then you out of the loop a im sittin back starin at this world in my eye see out the window in my room that im hidden inside im just a kid who stay speakin his thought talkin his mind life a roller coaster but i stay along for the ride put my heart up on the page and the song gon na cry there logic behind the way stayin caught in a lie boy aint a shock that im a topic of discussion muhfuckers want my spot so they probably wish i wasnt they give a little love like everyone do in reality they stone off that competitive drug and i dont blame em cause those who above me im gunnin for try and make my way to the top startin from the floor and i dont even need to bring a single gun to war cause i be on some shit that they aint never do before takin over piece by piece startin from the core it only be a year i can stick around a hundred more say i could stick around a hundred more i aint goin nowhere young and so much time to go jerm you might a well keep this one rollin i get like one more verse i havent spit three verse on a song in a minute see if i can remember this one aight look you can find me in the lab workin overtime smell the weed when you go by global grind and i aint just a local guy when you feelin stress out have an l blow money keep my lady deck out in chanel live fast when i die well wish me well huh i just hope they servin beer in hell just an everyday story that im here to tell so please stick around for the epilogue for anyone who ever blog probably heard my name hip-hop underdog you wan na win the game im sick of hearin how music change never be the same and these dude who think they everything and never pick a lane call yourself a vet but havent won a single game mad every girl get my name imprint in her brain boy im a beast match the style in bar find me smokin weed where the wild thing be yessir so i mean i have to take this time real quickly to just go in i dont know man i feel like you should never stop goin in on your shit thats just me i mean q and treej out there we excite just makin history and jerm of course,0.4889589905362776,K.I.D.S. (2010),0.0004,0.0004,0.0004,0.0144,0.6985,0.2853,0.0004
